date,regularBalls,powerball,mainNumberPool,powerballPool
"November 10, 2012","32,42,50,54,55",32,1 to 59,1 to 35
"November 14, 2012","8,10,30,44,58",13,1 to 59,1 to 35
"November 17, 2012","3,15,27,58,59",20,1 to 59,1 to 35
"November 21, 2012","8,18,24,30,39",26,1 to 59,1 to 35
"November 24, 2012","22,32,37,44,50",34,1 to 59,1 to 35
"November 28, 2012","5,16,22,23,29",6,1 to 59,1 to 35
"December 1, 2012","3,10,19,36,46",3,1 to 59,1 to 35
"December 5, 2012","13,17,19,27,38",12,1 to 59,1 to 35
"December 8, 2012","7,23,26,40,53",21,1 to 59,1 to 35
"December 12, 2012","8,10,25,36,44",28,1 to 59,1 to 35
"December 15, 2012","15,23,40,44,55",14,1 to 59,1 to 35
"December 19, 2012","5,8,20,23,30",3,1 to 59,1 to 35
"December 22, 2012","1,18,35,39,44",11,1 to 59,1 to 35
"December 26, 2012","11,13,23,43,54",4,1 to 59,1 to 35
"December 29, 2012","36,46,50,52,55",14,1 to 59,1 to 35
"January 2, 2013","18,20,28,35,53",20,1 to 59,1 to 35
"January 5, 2013","26,30,49,51,54",25,1 to 59,1 to 35
"January 9, 2013","11,13,20,27,59",26,1 to 59,1 to 35
"January 12, 2013","10,14,21,23,47",7,1 to 59,1 to 35
"January 16, 2013","9,21,28,32,51",35,1 to 59,1 to 35
"January 19, 2013","8,28,29,34,38",35,1 to 59,1 to 35
"January 23, 2013","11,12,24,43,45",9,1 to 59,1 to 35
"January 26, 2013","3,22,26,41,49",18,1 to 59,1 to 35
"January 30, 2013","14,16,32,47,52",16,1 to 59,1 to 35
"February 2, 2013","11,16,33,40,41",34,1 to 59,1 to 35
"February 6, 2013","5,27,36,38,41",12,1 to 59,1 to 35
"February 9, 2013","5,6,16,36,58",3,1 to 59,1 to 35
"February 13, 2013","12,23,25,27,43",29,1 to 59,1 to 35
"February 16, 2013","15,16,46,50,58",29,1 to 59,1 to 35
"February 20, 2013","3,17,19,25,32",17,1 to 59,1 to 35
"February 23, 2013","2,5,31,39,41",29,1 to 59,1 to 35
"February 27, 2013","3,14,20,34,48",21,1 to 59,1 to 35
"March 2, 2013","3,8,13,41,56",16,1 to 59,1 to 35
"March 6, 2013","6,10,23,41,45",1,1 to 59,1 to 35
"March 9, 2013","10,37,40,46,52",12,1 to 59,1 to 35
"March 13, 2013","5,9,28,32,38",29,1 to 59,1 to 35
"March 16, 2013","3,7,21,44,53",16,1 to 59,1 to 35
"March 20, 2013","13,14,17,43,54",15,1 to 59,1 to 35
"March 23, 2013","17,29,31,52,53",31,1 to 59,1 to 35
"March 27, 2013","7,37,43,48,52",16,1 to 59,1 to 35
"March 30, 2013","11,23,26,46,55",27,1 to 59,1 to 35
"April 3, 2013","1,6,8,12,35",3,1 to 59,1 to 35
"April 6, 2013","4,7,8,29,39",24,1 to 59,1 to 35
"April 10, 2013","1,36,40,52,53",20,1 to 59,1 to 35
"April 13, 2013","10,12,31,56,57",33,1 to 59,1 to 35
"April 17, 2013","13,18,36,48,58",28,1 to 59,1 to 35
"April 20, 2013","6,8,30,39,48",20,1 to 59,1 to 35
"April 24, 2013","9,19,31,56,59",2,1 to 59,1 to 35
"April 27, 2013","3,23,48,54,55",5,1 to 59,1 to 35
"May 1, 2013","22,26,31,54,55",18,1 to 59,1 to 35
"May 4, 2013","7,12,26,36,40",17,1 to 59,1 to 35
"May 8, 2013","21,22,26,30,57",27,1 to 59,1 to 35
"May 11, 2013","6,13,19,23,43",16,1 to 59,1 to 35
"May 15, 2013","2,11,26,34,41",32,1 to 59,1 to 35
"May 18, 2013","10,13,14,22,52",11,1 to 59,1 to 35
"May 22, 2013","9,31,35,41,57",26,1 to 59,1 to 35
"May 25, 2013","2,6,19,21,27",25,1 to 59,1 to 35
"May 29, 2013","9,14,17,49,57",2,1 to 59,1 to 35
"June 1, 2013","22,28,33,53,59",14,1 to 59,1 to 35
"June 5, 2013","4,26,33,36,55",32,1 to 59,1 to 35
"June 8, 2013","2,11,22,26,32",19,1 to 59,1 to 35
"June 12, 2013","16,22,23,42,55",32,1 to 59,1 to 35
"June 15, 2013","28,36,40,48,55",1,1 to 59,1 to 35
"June 19, 2013","7,46,47,52,57",17,1 to 59,1 to 35
"June 22, 2013","13,19,23,33,57",28,1 to 59,1 to 35
"June 26, 2013","1,18,33,39,46",33,1 to 59,1 to 35
"June 29, 2013","8,28,30,53,56",16,1 to 59,1 to 35
"July 3, 2013","3,6,29,40,51",4,1 to 59,1 to 35
"July 6, 2013","2,13,35,36,52",11,1 to 59,1 to 35
"July 10, 2013","30,31,45,55,59",27,1 to 59,1 to 35
"July 13, 2013","2,8,22,35,37",6,1 to 59,1 to 35
"July 17, 2013","1,22,34,38,42",17,1 to 59,1 to 35
"July 20, 2013","14,25,27,38,58",6,1 to 59,1 to 35
"July 24, 2013","9,29,40,44,54",7,1 to 59,1 to 35
"July 27, 2013","9,23,40,53,58",6,1 to 59,1 to 35
"July 31, 2013","8,24,39,49,59",5,1 to 59,1 to 35
"August 3, 2013","21,24,36,42,45",15,1 to 59,1 to 35
"August 7, 2013","5,25,30,58,59",32,1 to 59,1 to 35
"August 10, 2013","4,12,14,37,58",13,1 to 59,1 to 35
"August 14, 2013","4,11,17,43,51",20,1 to 59,1 to 35
"August 17, 2013","18,21,46,54,56",23,1 to 59,1 to 35
"August 21, 2013","30,40,42,46,48",23,1 to 59,1 to 35
"August 24, 2013","12,17,25,45,59",19,1 to 59,1 to 35
"August 28, 2013","6,7,9,19,32",13,1 to 59,1 to 35
"August 31, 2013","2,7,25,40,56",20,1 to 59,1 to 35
"September 4, 2013","2,9,26,45,47",11,1 to 59,1 to 35
"September 7, 2013","2,19,22,26,45",24,1 to 59,1 to 35
"September 11, 2013","11,19,33,42,52",33,1 to 59,1 to 35
"September 14, 2013","1,17,25,37,44",20,1 to 59,1 to 35
"September 18, 2013","7,10,22,32,35",19,1 to 59,1 to 35
"September 21, 2013","12,17,45,54,58",13,1 to 59,1 to 35
"September 25, 2013","2,7,17,49,53",23,1 to 59,1 to 35
"September 28, 2013","14,47,52,53,54",5,1 to 59,1 to 35
"October 2, 2013","4,6,25,42,51",17,1 to 59,1 to 35
"October 5, 2013","11,12,17,39,40",5,1 to 59,1 to 35
"October 9, 2013","3,9,19,33,38",18,1 to 59,1 to 35
"October 12, 2013","8,10,26,57,58",4,1 to 59,1 to 35
"October 16, 2013","3,26,28,34,42",28,1 to 59,1 to 35
"October 19, 2013","9,33,54,56,57",5,1 to 59,1 to 35
"October 23, 2013","3,23,31,34,47",13,1 to 59,1 to 35
"October 26, 2013","4,6,34,49,56",29,1 to 59,1 to 35
"October 30, 2013","2,36,40,49,54",10,1 to 59,1 to 35
"November 2, 2013","13,23,24,27,40",17,1 to 59,1 to 35
"November 6, 2013","1,5,10,15,49",22,1 to 59,1 to 35
"November 9, 2013","3,9,37,49,56",32,1 to 59,1 to 35
"November 13, 2013","5,31,50,55,56",9,1 to 59,1 to 35
"November 16, 2013","10,29,37,44,59",10,1 to 59,1 to 35
"November 20, 2013","4,18,23,32,45",7,1 to 59,1 to 35
"November 23, 2013","5,12,43,52,55",10,1 to 59,1 to 35
"November 27, 2013","18,25,50,55,57",17,1 to 59,1 to 35
"November 30, 2013","5,26,44,45,57",29,1 to 59,1 to 35
"December 4, 2013","6,9,11,31,44",25,1 to 59,1 to 35
"December 7, 2013","13,20,32,45,48",17,1 to 59,1 to 35
"December 11, 2013","1,10,13,18,19",27,1 to 59,1 to 35
"December 14, 2013","14,25,32,33,41",34,1 to 59,1 to 35
"December 18, 2013","7,24,37,39,40",1,1 to 59,1 to 35
"December 21, 2013","25,36,40,45,51",8,1 to 59,1 to 35
"December 25, 2013","23,28,38,39,56",32,1 to 59,1 to 35
"December 28, 2013","8,35,44,51,56",18,1 to 59,1 to 35
"January 1, 2014","15,24,40,48,52",23,1 to 59,1 to 35
"January 4, 2014","19,20,37,41,58",14,1 to 59,1 to 35
"January 8, 2014","10,28,39,47,58",22,1 to 59,1 to 35
"January 11, 2014","10,15,33,48,54",34,1 to 59,1 to 35
"January 15, 2014","7,8,9,24,29",25,1 to 59,1 to 35
"January 18, 2014","13,14,19,31,38",25,1 to 59,1 to 35
"January 22, 2014","1,2,7,9,55",29,1 to 59,1 to 35
"January 25, 2014","8,12,18,55,57",2,1 to 59,1 to 35
"January 29, 2014","11,23,28,32,47",20,1 to 59,1 to 35
"February 1, 2014","5,12,15,27,38",7,1 to 59,1 to 35
"February 5, 2014","8,17,32,57,59",24,1 to 59,1 to 35
"February 8, 2014","24,25,34,37,54",29,1 to 59,1 to 35
"February 12, 2014","36,44,49,52,57",1,1 to 59,1 to 35
"February 15, 2014","2,9,14,21,23",3,1 to 59,1 to 35
"February 19, 2014","1,17,35,49,54",34,1 to 59,1 to 35
"February 22, 2014","2,3,13,14,54",4,1 to 59,1 to 35
"February 26, 2014","11,12,17,38,42",2,1 to 59,1 to 35
"March 1, 2014","3,8,25,30,47",13,1 to 59,1 to 35
"March 5, 2014","3,7,9,26,54",19,1 to 59,1 to 35
"March 8, 2014","10,14,24,32,41",30,1 to 59,1 to 35
"March 12, 2014","14,15,28,37,54",10,1 to 59,1 to 35
"March 15, 2014","2,5,34,51,58",9,1 to 59,1 to 35
"March 19, 2014","2,19,23,34,43",14,1 to 59,1 to 35
"March 22, 2014","13,28,31,55,58",15,1 to 59,1 to 35
"March 26, 2014","28,33,41,44,59",21,1 to 59,1 to 35
"March 29, 2014","2,3,12,27,38",17,1 to 59,1 to 35
"April 2, 2014","8,13,19,22,53",24,1 to 59,1 to 35
"April 5, 2014","11,21,26,33,34",29,1 to 59,1 to 35
"April 9, 2014","9,14,44,48,49",29,1 to 59,1 to 35
"April 12, 2014","14,26,45,54,55",20,1 to 59,1 to 35
"April 16, 2014","34,39,42,44,59",8,1 to 59,1 to 35
"April 19, 2014","5,6,29,35,51",21,1 to 59,1 to 35
"April 23, 2014","19,25,29,36,48",12,1 to 59,1 to 35
"April 26, 2014","3,7,22,30,33",20,1 to 59,1 to 35
"April 30, 2014","2,9,11,19,50",32,1 to 59,1 to 35
"May 3, 2014","5,15,16,46,49",26,1 to 59,1 to 35
"May 7, 2014","17,29,31,48,49",34,1 to 59,1 to 35
"May 10, 2014","4,31,41,47,55",1,1 to 59,1 to 35
"May 14, 2014","7,33,39,52,55",33,1 to 59,1 to 35
"May 17, 2014","23,32,39,47,49",22,1 to 59,1 to 35
"May 21, 2014","4,20,34,39,58",31,1 to 59,1 to 35
"May 24, 2014","15,16,28,49,55",18,1 to 59,1 to 35
"May 28, 2014","2,24,28,32,59",25,1 to 59,1 to 35
"May 31, 2014","15,27,31,34,48",1,1 to 59,1 to 35
"June 4, 2014","1,7,10,22,49",24,1 to 59,1 to 35
"June 7, 2014","28,30,35,58,59",15,1 to 59,1 to 35
"June 11, 2014","14,18,25,33,49",23,1 to 59,1 to 35
"June 14, 2014","9,33,42,45,54",30,1 to 59,1 to 35
"June 18, 2014","6,9,29,52,59",7,1 to 59,1 to 35
"June 21, 2014","5,6,37,41,54",26,1 to 59,1 to 35
"June 25, 2014","10,20,25,50,53",35,1 to 59,1 to 35
"June 28, 2014","8,12,34,43,56",9,1 to 59,1 to 35
"July 2, 2014","8,18,45,53,58",35,1 to 59,1 to 35
"July 5, 2014","24,34,36,57,58",11,1 to 59,1 to 35
"July 9, 2014","9,25,42,55,57",14,1 to 59,1 to 35
"July 12, 2014","2,3,7,23,51",26,1 to 59,1 to 35
"July 16, 2014","5,15,18,26,32",35,1 to 59,1 to 35
"July 19, 2014","10,17,25,45,53",9,1 to 59,1 to 35
"July 23, 2014","4,10,12,22,31",3,1 to 59,1 to 35
"July 26, 2014","24,28,30,38,39",16,1 to 59,1 to 35
"July 30, 2014","13,30,42,49,53",29,1 to 59,1 to 35
"August 2, 2014","12,26,44,46,47",29,1 to 59,1 to 35
"August 6, 2014","1,8,24,28,49",24,1 to 59,1 to 35
"August 9, 2014","3,12,31,34,51",24,1 to 59,1 to 35
"August 13, 2014","8,37,39,40,52",24,1 to 59,1 to 35
"August 16, 2014","7,8,17,48,59",9,1 to 59,1 to 35
"August 20, 2014","4,8,21,38,40",3,1 to 59,1 to 35
"August 23, 2014","28,32,35,36,52",31,1 to 59,1 to 35
"August 27, 2014","17,24,26,45,46",19,1 to 59,1 to 35
"August 30, 2014","5,28,31,52,59",27,1 to 59,1 to 35
"September 3, 2014","2,16,43,45,51",35,1 to 59,1 to 35
"September 6, 2014","9,29,31,43,50",18,1 to 59,1 to 35
"September 10, 2014","2,14,39,40,43",13,1 to 59,1 to 35
"September 13, 2014","1,6,16,37,53",27,1 to 59,1 to 35
"September 17, 2014","18,25,36,48,50",23,1 to 59,1 to 35
"September 20, 2014","22,23,30,37,39",16,1 to 59,1 to 35
"September 24, 2014","7,14,21,24,41",26,1 to 59,1 to 35
"September 27, 2014","2,11,35,52,54",13,1 to 59,1 to 35
"October 1, 2014","1,4,18,20,45",7,1 to 59,1 to 35
"October 4, 2014","13,18,24,25,33",31,1 to 59,1 to 35
"October 8, 2014","5,16,31,46,50",18,1 to 59,1 to 35
"October 11, 2014","10,19,37,38,39",28,1 to 59,1 to 35
"October 15, 2014","5,7,19,27,28",20,1 to 59,1 to 35
"October 18, 2014","20,26,27,36,54",19,1 to 59,1 to 35
"October 22, 2014","29,30,40,42,50",16,1 to 59,1 to 35
"October 25, 2014","6,10,51,54,57",12,1 to 59,1 to 35
"October 29, 2014","25,28,48,57,59",16,1 to 59,1 to 35
"November 1, 2014","1,3,13,25,38",17,1 to 59,1 to 35
"November 5, 2014","2,11,19,21,42",34,1 to 59,1 to 35
"November 8, 2014","9,19,33,38,54",15,1 to 59,1 to 35
"November 12, 2014","37,39,51,52,55",11,1 to 59,1 to 35
"November 15, 2014","13,16,33,35,51",28,1 to 59,1 to 35
"November 19, 2014","6,36,38,48,51",17,1 to 59,1 to 35
"November 22, 2014","23,49,53,54,57",35,1 to 59,1 to 35
"November 26, 2014","16,17,22,46,54",35,1 to 59,1 to 35
"November 29, 2014","13,24,30,42,48",27,1 to 59,1 to 35
"December 3, 2014","25,30,32,46,54",26,1 to 59,1 to 35
"December 6, 2014","12,15,22,43,49",14,1 to 59,1 to 35
"December 10, 2014","34,44,48,54,55",10,1 to 59,1 to 35
"December 13, 2014","5,13,28,43,55",33,1 to 59,1 to 35
"December 17, 2014","22,31,38,47,48",15,1 to 59,1 to 35
"December 20, 2014","14,15,19,31,56",5,1 to 59,1 to 35
"December 24, 2014","11,12,46,47,50",22,1 to 59,1 to 35
"December 27, 2014","7,10,11,14,36",15,1 to 59,1 to 35
"December 31, 2014","17,27,37,40,53",35,1 to 59,1 to 35
"January 3, 2015","4,18,43,46,55",25,1 to 59,1 to 35
"January 7, 2015","14,15,47,49,59",10,1 to 59,1 to 35
"January 10, 2015","2,9,19,28,29",19,1 to 59,1 to 35
"January 14, 2015","2,4,10,41,53",22,1 to 59,1 to 35
"January 17, 2015","15,16,23,27,36",9,1 to 59,1 to 35
"January 21, 2015","11,12,15,28,57",23,1 to 59,1 to 35
"January 24, 2015","16,19,20,29,33",10,1 to 59,1 to 35
"January 28, 2015","12,24,35,36,49",1,1 to 59,1 to 35
"January 31, 2015","5,11,16,26,50",34,1 to 59,1 to 35
"February 4, 2015","24,36,51,52,56",22,1 to 59,1 to 35
"February 7, 2015","5,10,21,34,58",33,1 to 59,1 to 35
"February 11, 2015","11,13,25,39,54",19,1 to 59,1 to 35
"February 14, 2015","1,24,44,45,51",28,1 to 59,1 to 35
"February 18, 2015","1,9,29,32,49",22,1 to 59,1 to 35
"February 21, 2015","10,14,18,34,51",26,1 to 59,1 to 35
"February 25, 2015","17,19,21,32,39",8,1 to 59,1 to 35
"February 28, 2015","11,17,25,28,46",12,1 to 59,1 to 35
"March 4, 2015","8,12,15,35,50",32,1 to 59,1 to 35
"March 7, 2015","34,36,38,42,50",33,1 to 59,1 to 35
"March 11, 2015","11,24,31,40,44",27,1 to 59,1 to 35
"March 14, 2015","8,14,39,46,47",18,1 to 59,1 to 35
"March 18, 2015","14,25,30,33,47",8,1 to 59,1 to 35
"March 21, 2015","11,16,30,38,42",7,1 to 59,1 to 35
"March 25, 2015","7,19,23,50,54",14,1 to 59,1 to 35
"March 28, 2015","2,4,6,12,38",17,1 to 59,1 to 35
"April 1, 2015","2,30,33,39,44",1,1 to 59,1 to 35
"April 4, 2015","33,39,40,41,54",28,1 to 59,1 to 35
"April 8, 2015","1,19,45,46,58",29,1 to 59,1 to 35
"April 11, 2015","1,12,32,42,58",12,1 to 59,1 to 35
"April 15, 2015","1,16,21,29,40",30,1 to 59,1 to 35
"April 18, 2015","13,22,23,29,31",17,1 to 59,1 to 35
"April 22, 2015","10,14,25,39,53",18,1 to 59,1 to 35
"April 25, 2015","21,33,35,38,45",12,1 to 59,1 to 35
"April 29, 2015","1,26,34,38,51",6,1 to 59,1 to 35
"May 2, 2015","2,6,11,30,31",33,1 to 59,1 to 35
"May 6, 2015","23,24,27,39,41",30,1 to 59,1 to 35
"May 9, 2015","4,15,17,35,58",17,1 to 59,1 to 35
"May 13, 2015","1,25,29,31,47",7,1 to 59,1 to 35
"May 16, 2015","24,29,38,48,52",32,1 to 59,1 to 35
"May 20, 2015","1,12,28,35,44",25,1 to 59,1 to 35
"May 23, 2015","9,15,17,31,43",16,1 to 59,1 to 35
"May 27, 2015","8,15,34,53,59",23,1 to 59,1 to 35
"May 30, 2015","8,9,25,56,57",22,1 to 59,1 to 35
"June 3, 2015","6,8,13,37,40",11,1 to 59,1 to 35
"June 6, 2015","8,13,18,27,43",15,1 to 59,1 to 35
"June 10, 2015","31,32,48,49,53",25,1 to 59,1 to 35
"June 13, 2015","29,41,48,52,54",29,1 to 59,1 to 35
"June 17, 2015","20,21,22,41,54",7,1 to 59,1 to 35
"June 20, 2015","9,10,16,20,57",15,1 to 59,1 to 35
"June 24, 2015","3,5,10,22,32",7,1 to 59,1 to 35
"June 27, 2015","18,28,35,46,49",27,1 to 59,1 to 35
"July 1, 2015","7,24,26,31,41",25,1 to 59,1 to 35
"July 4, 2015","3,6,14,18,24",21,1 to 59,1 to 35
"July 8, 2015","4,15,25,27,30",18,1 to 59,1 to 35
"July 11, 2015","11,39,46,52,54",3,1 to 59,1 to 35
"July 15, 2015","13,16,34,45,50",11,1 to 59,1 to 35
"July 18, 2015","6,37,39,45,55",33,1 to 59,1 to 35
"July 22, 2015","12,31,43,44,57",11,1 to 59,1 to 35
"July 25, 2015","27,29,34,41,44",2,1 to 59,1 to 35
"July 29, 2015","4,22,27,28,52",35,1 to 59,1 to 35
"August 1, 2015","7,13,24,49,57",15,1 to 59,1 to 35
"August 5, 2015","9,11,14,16,42",19,1 to 59,1 to 35
"August 8, 2015","9,34,48,52,54",15,1 to 59,1 to 35
"August 12, 2015","8,13,29,38,52",28,1 to 59,1 to 35
"August 15, 2015","3,13,17,42,52",24,1 to 59,1 to 35
"August 19, 2015","6,8,43,48,50",7,1 to 59,1 to 35
"August 22, 2015","4,12,14,21,55",7,1 to 59,1 to 35
"August 26, 2015","2,22,32,45,56",12,1 to 59,1 to 35
"August 29, 2015","18,21,25,28,29",16,1 to 59,1 to 35
"September 2, 2015","17,22,30,46,56",16,1 to 59,1 to 35
"September 5, 2015","10,16,18,29,45",19,1 to 59,1 to 35
"September 9, 2015","44,45,47,50,51",8,1 to 59,1 to 35
"September 12, 2015","2,3,13,16,35",27,1 to 59,1 to 35
"September 16, 2015","5,7,24,31,39",7,1 to 59,1 to 35
"September 19, 2015","12,17,26,43,48",24,1 to 59,1 to 35
"September 23, 2015","8,29,41,51,58",5,1 to 59,1 to 35
"September 26, 2015","23,31,42,50,57",5,1 to 59,1 to 35
"September 30, 2015","21,39,40,55,59",17,1 to 59,1 to 35
"October 3, 2015","6,26,33,44,46",4,1 to 59,1 to 35
"October 7, 2015","18,30,40,48,52",9,1 to 69,1 to 26
"October 10, 2015","12,27,29,43,68",1,1 to 69,1 to 26
"October 14, 2015","15,20,29,31,40",1,1 to 69,1 to 26
"October 17, 2015","48,49,57,62,69",19,1 to 69,1 to 26
"October 21, 2015","30,32,42,56,57",11,1 to 69,1 to 26
"October 24, 2015","20,31,56,60,64",2,1 to 69,1 to 26
"October 28, 2015","4,54,56,62,63",10,1 to 69,1 to 26
"October 31, 2015","9,20,25,47,68",7,1 to 69,1 to 26
"November 4, 2015","2,12,17,20,65",17,1 to 69,1 to 26
"November 7, 2015","7,16,25,50,53",15,1 to 69,1 to 26
"November 11, 2015","4,26,32,55,64",18,1 to 69,1 to 26
"November 14, 2015","14,22,37,45,66",5,1 to 69,1 to 26
"November 18, 2015","17,40,41,46,69",6,1 to 69,1 to 26
"November 21, 2015","37,47,50,52,57",21,1 to 69,1 to 26
"November 25, 2015","16,29,53,58,69",21,1 to 69,1 to 26
"November 28, 2015","2,6,47,66,67",2,1 to 69,1 to 26
"December 2, 2015","14,18,19,32,64",9,1 to 69,1 to 26
"December 5, 2015","13,27,33,47,68",13,1 to 69,1 to 26
"December 9, 2015","7,10,16,46,56",1,1 to 69,1 to 26
"December 12, 2015","2,14,19,30,62",22,1 to 69,1 to 26
"December 16, 2015","9,10,32,42,55",6,1 to 69,1 to 26
"December 19, 2015","28,30,41,59,68",10,1 to 69,1 to 26
"December 23, 2015","16,38,55,63,67",25,1 to 69,1 to 26
"December 26, 2015","27,40,44,59,65",20,1 to 69,1 to 26
"December 30, 2015","12,36,38,54,61",22,1 to 69,1 to 26
"January 2, 2016","5,6,15,29,42",10,1 to 69,1 to 26
"January 6, 2016","2,11,47,62,63",17,1 to 69,1 to 26
"January 9, 2016","16,19,32,34,57",13,1 to 69,1 to 26
"January 13, 2016","4,8,19,27,34",10,1 to 69,1 to 26
"January 16, 2016","3,51,52,61,64",6,1 to 69,1 to 26
"January 20, 2016","5,39,44,47,69",24,1 to 69,1 to 26
"January 23, 2016","22,32,34,40,69",19,1 to 69,1 to 26
"January 27, 2016","3,12,40,52,67",21,1 to 69,1 to 26
"January 30, 2016","5,12,16,31,43",18,1 to 69,1 to 26
"February 3, 2016","26,28,31,60,67",23,1 to 69,1 to 26
"February 6, 2016","4,13,31,36,52",8,1 to 69,1 to 26
"February 10, 2016","2,3,40,50,62",5,1 to 69,1 to 26
"February 13, 2016","7,15,18,19,36",20,1 to 69,1 to 26
"February 17, 2016","7,17,27,29,40",25,1 to 69,1 to 26
"February 20, 2016","11,12,15,16,54",25,1 to 69,1 to 26
"February 24, 2016","21,31,64,65,67",5,1 to 69,1 to 26
"February 27, 2016","10,11,21,22,53",18,1 to 69,1 to 26
"March 2, 2016","12,13,44,52,62",6,1 to 69,1 to 26
"March 5, 2016","3,27,34,59,69",19,1 to 69,1 to 26
"March 9, 2016","14,23,32,34,68",3,1 to 69,1 to 26
"March 12, 2016","11,28,50,57,62",23,1 to 69,1 to 26
"March 16, 2016","10,12,13,46,50",21,1 to 69,1 to 26
"March 19, 2016","11,23,43,54,60",3,1 to 69,1 to 26
"March 23, 2016","5,8,15,22,49",25,1 to 69,1 to 26
"March 26, 2016","11,23,42,52,68",6,1 to 69,1 to 26
"March 30, 2016","24,44,53,55,63",19,1 to 69,1 to 26
"April 2, 2016","9,28,30,40,61",3,1 to 69,1 to 26
"April 6, 2016","4,28,49,60,65",25,1 to 69,1 to 26
"April 9, 2016","14,22,23,41,61",9,1 to 69,1 to 26
"April 13, 2016","30,33,35,38,64",22,1 to 69,1 to 26
"April 16, 2016","3,18,25,32,51",3,1 to 69,1 to 26
"April 20, 2016","12,25,30,52,62",8,1 to 69,1 to 26
"April 23, 2016","19,35,46,59,62",13,1 to 69,1 to 26
"April 27, 2016","2,25,33,39,64",17,1 to 69,1 to 26
"April 30, 2016","3,12,16,32,34",14,1 to 69,1 to 26
"May 4, 2016","30,47,57,66,69",3,1 to 69,1 to 26
"May 7, 2016","5,25,26,44,66",9,1 to 69,1 to 26
"May 11, 2016","20,32,52,66,69",23,1 to 69,1 to 26
"May 14, 2016","13,27,47,64,65",9,1 to 69,1 to 26
"May 18, 2016","23,25,39,54,67",11,1 to 69,1 to 26
"May 21, 2016","5,7,9,23,32",26,1 to 69,1 to 26
"May 25, 2016","11,24,41,59,64",15,1 to 69,1 to 26
"May 28, 2016","6,33,34,58,59",12,1 to 69,1 to 26
"June 1, 2016","23,30,33,40,69",12,1 to 69,1 to 26
"June 4, 2016","16,20,22,43,64",17,1 to 69,1 to 26
"June 8, 2016","12,25,37,60,69",20,1 to 69,1 to 26
"June 11, 2016","20,27,36,41,58",7,1 to 69,1 to 26
"June 15, 2016","4,22,24,31,33",10,1 to 69,1 to 26
"June 18, 2016","2,23,41,53,63",11,1 to 69,1 to 26
"June 22, 2016","14,40,42,43,52",17,1 to 69,1 to 26
"June 25, 2016","3,27,36,56,69",25,1 to 69,1 to 26
"June 29, 2016","23,29,37,60,64",6,1 to 69,1 to 26
"July 2, 2016","10,34,39,59,63",4,1 to 69,1 to 26
"July 6, 2016","2,24,31,57,66",18,1 to 69,1 to 26
"July 9, 2016","10,28,32,61,64",12,1 to 69,1 to 26
"July 13, 2016","3,15,29,54,57",10,1 to 69,1 to 26
"July 16, 2016","11,17,40,50,62",26,1 to 69,1 to 26
"July 20, 2016","6,25,35,58,66",5,1 to 69,1 to 26
"July 23, 2016","5,7,23,35,39",11,1 to 69,1 to 26
"July 27, 2016","10,47,50,65,68",24,1 to 69,1 to 26
"July 30, 2016","11,17,21,23,32",5,1 to 69,1 to 26
"August 3, 2016","9,11,27,66,67",2,1 to 69,1 to 26
"August 6, 2016","20,33,36,47,52",12,1 to 69,1 to 26
"August 10, 2016","23,56,61,64,67",12,1 to 69,1 to 26
"August 13, 2016","38,44,60,64,69",6,1 to 69,1 to 26
"August 17, 2016","33,44,49,50,52",8,1 to 69,1 to 26
"August 20, 2016","3,6,21,60,68",24,1 to 69,1 to 26
"August 24, 2016","9,11,25,64,65",16,1 to 69,1 to 26
"August 27, 2016","4,32,48,49,63",20,1 to 69,1 to 26
"August 31, 2016","5,10,24,56,61",12,1 to 69,1 to 26
"September 3, 2016","7,39,50,59,67",25,1 to 69,1 to 26
"September 7, 2016","22,23,29,33,55",21,1 to 69,1 to 26
"September 10, 2016","3,17,49,55,68",8,1 to 69,1 to 26
"September 14, 2016","10,11,23,28,31",14,1 to 69,1 to 26
"September 17, 2016","9,19,51,55,62",14,1 to 69,1 to 26
"September 21, 2016","1,28,63,67,69",17,1 to 69,1 to 26
"September 24, 2016","7,15,20,29,41",22,1 to 69,1 to 26
"September 28, 2016","30,38,52,53,62",1,1 to 69,1 to 26
"October 1, 2016","2,12,50,61,64",1,1 to 69,1 to 26
"October 5, 2016","8,18,27,29,60",15,1 to 69,1 to 26
"October 8, 2016","3,54,61,64,68",9,1 to 69,1 to 26
"October 12, 2016","16,30,34,37,44",16,1 to 69,1 to 26
"October 15, 2016","23,49,57,64,67",20,1 to 69,1 to 26
"October 19, 2016","10,16,38,43,63",23,1 to 69,1 to 26
"October 22, 2016","1,28,33,55,56",22,1 to 69,1 to 26
"October 26, 2016","2,3,16,48,56",24,1 to 69,1 to 26
"October 29, 2016","19,20,21,42,48",23,1 to 69,1 to 26
"November 2, 2016","13,18,37,54,61",5,1 to 69,1 to 26
"November 5, 2016","21,31,50,51,69",8,1 to 69,1 to 26
"November 9, 2016","1,25,28,31,54",2,1 to 69,1 to 26
"November 12, 2016","8,17,20,27,52",24,1 to 69,1 to 26
"November 16, 2016","28,41,61,63,65",7,1 to 69,1 to 26
"November 19, 2016","16,24,28,43,61",21,1 to 69,1 to 26
"November 23, 2016","7,32,41,47,61",3,1 to 69,1 to 26
"November 26, 2016","17,19,21,37,44",16,1 to 69,1 to 26
